Noch unbekannt                   =UNBEKANNT
ADLER VERS:-10625 BERLIN         =ADLER-BER
ALL. PRIV. VERS.-65001 WIESBADEN =APK
ALLIANZ VERS. AG-13162 BERLIN    =ALL-BER
AOK AACHEN                       =AOK-AAC
AOK AALEN                        =AOK-AAL
AOK ACHERN                       =AOK-ACH
AOK AHRENSBURG                   =AOK-AHR
AOK AHRWEILER-53456 BAD NEUENAHR-=AOK-NEUE
AOK AICHACH                      =AOK-AICH
AOK ALBSTADT                     =AOK-ALB
AOK ALFELD                       =AOK-ALF
AOK ALSFELD                      =AOK-ALS
AOK ALTDORF                      =AOK-ALTD
AOK ALTENKIRCHEN                 =AOK-ALTEN
AOK ALTENSTEIG                   =AOK-ALTE
AOK ALTOETTING                   =AOK-ALTOE
AOK ALTOETTING - MUEHLDORF       =AOK-ALT
AOK AMBERG                       =AOK-AMB
AOK AMMERLAND-26641 WESTERSTEDE  =AOK-WESTE
AOK ANSBACH                      =AOK-ANS
AOK ARNSBERG                     =AOK-ARN
AOK ARZBERG                      =AOK-ARZ
AOK ASCHAFFENBURG                =AOK-ASC
AOK AUGSBURG                     =AOK-AUG
AOK AURICH                       =AOK-AUR
AOK BABENHAUSEN                  =AOK-BAB
AOK BACKNANG                     =AOK-BAC
AOK BAD AIBLING                  =AOK-AIB
AOK BAD BERNECK/UEBER BAYERN     =AOK-BERN
AOK BAD DUERRHEIM                =AOK-DUE
AOK BAD HERSFELD                 =AOK-HER
AOK BAD HOMBURG                  =AOK-HOM
AOK BAD KISSINGEN                =AOK-KISS
AOK BAD KOENIGSHOFEN             =AOK-KOEN
AOK BAD KREUZNACH                =AOK-KRE
AOK BAD KROZINGEN                =AOK-KROZ
AOK BAD NEUSTADT/ SAALE          =AOK-BNEU
AOK BAD RAPPENAU                 =AOK-RAP
AOK BAD SAECKINGEN               =AOK-SAE
AOK BAD SCHUSSENRIED             =AOK-SCHU
AOK BAD SCHWALBACH               =AOK-SCH
AOK BAD TOELZ                    =AOK-BAD
AOK BAD WALDSEE                  =AOK-WSEE
AOK BAD WINDSHEIM                =AOK-WIND
AOK BAD WOERISHOFEN              =AOK-WOE
AOK BADEN-BADEN                  =AOK-BADEN
AOK BALINGEN                     =AOK-BAL
AOK BAMBERG                      =AOK-BAM
AOK BAYERWALD-94201 REGEN        =AOK-BAY
AOK BAYREUTH-KULMBACH-95401 BAYRE=AOK-BAYR
AOK BECKUM                       =AOK-BEC
AOK BEILNGRIES                   =AOK-BEI
AOK BENSHEIM                     =AOK-BEN
AOK BERCHTESGADEN                =AOK-BERCH
AOK BERCHTESGADEN-TRAUNSTEIN-8342=AOK-BER
AOK BERGISCH GLADBACH            =AOK-BERG
AOK BERLIN-10969 BERLIN          =AOK-BERL
AOK BESIGHEIM                    =AOK-BES
AOK BIBERACH                     =AOK-BIB
AOK BIELEFELD                    =AOK-BIEL
AOK BIETIGHEIM/BISSIGEN          =AOK-BIE
AOK BITBURG                      =AOK-BIT
AOK BLAUBEUREN                   =AOK-BLA
AOK BLUMBERG                     =AOK-BLU
AOK BOCHOLT                      =AOK-BOC
AOK BOCHUM                       =AOK-BOCH
AOK BOEBLINGEN SINDELFINGEN      =AOK-SIND
AOK BOEBLINGEN-71032 BôBLINGEN   =AOK-BOE
AOK BOGEN                        =AOK-BOG
AOK BONN                         =AOK-BON
AOK BOPFINGEN                    =AOK-BOP
AOK BORKUM                       =AOK-BOR
AOK BOTTROP                      =AOK-BOT
AOK BRACKENHEIM                  =AOK-BRAC
AOK BRAKE                        =AOK-BRA
AOK BRAMSCHE                     =AOK-BRAM
AOK BRAUNSCHWEIG                 =AOK-BRAU
AOK BREISACH                     =AOK-BREI
AOK BREMEN                       =AOK-BREM
AOK BREMERHAVEN                  =AOK-BREMH
AOK BREMERVOERDE                 =AOK-BREMV
AOK BRETTEN                      =AOK-BRE
AOK BRUCHSAL                     =AOK-BRU
AOK BUEDINGEN/HESS-63654 BöDINGEN=AOK-BUE
AOK BURGDORF                     =AOK-BURGD
AOK BURGHAUSEN                   =AOK-BURG
AOK BURGKUNSTADT                 =AOK-BURGK
AOK BURGLENGENFELD               =AOK-BURGL
AOK CALW                         =AOK-CAL
AOK CELLE                        =AOK-CEL
AOK CHAM                         =AOK-CHA
AOK CLOPPENBURG                  =AOK-CLO
AOK COBURG                       =AOK-COB
AOK COCHEM                       =AOK-COC
AOK COESFELD                     =AOK-COE
AOK CRAILSHEIM                   =AOK-CRA
AOK CUXHAVEN                     =AOK-CUX
AOK DACHAU                       =AOK-DAC
AOK DARMSTADT                    =AOK-DAR
AOK DAUN                         =AOK-DAU
AOK DEGGENDORF                   =AOK-DEG
AOK DEGGINGEN                    =AOK-DEGG
AOK DELMENHORST                  =AOK-DEL
AOK DIEPHOLZ                     =AOK-DIE
AOK DIEZ                         =AOK-DIEZ
AOK DILLINGEN                    =AOK-DIL
AOK DINGOLFING                   =AOK-DING
AOK DINKELSBUEHL                 =AOK-DINK
AOK DITHMARSCHEN-MEHLDORF        =AOK-MEDO
AOK DITZINGEN                    =AOK-DIT
AOK DONAUESCHINGEN               =AOK-DONA
AOK DONAUWOERTH                  =AOK-DON
AOK DONNERSBERGKREIS-67285 KIRCHH=AOK-KIBO
AOK DONZDORF                     =AOK-DONZ
AOK DORTMUND                     =AOK-DOR
AOK DUDERSTADT                   =AOK-DUD
AOK DUEREN                       =AOK-DUER
AOK DUESSELDORF                  =AOK-DUES
AOK DUISBURG                     =AOK-DUI
AOK EBERMANNSTADT                =AOK-EBER
AOK EBERSBACH                    =AOK-EBERS
AOK EBERSBERG                    =AOK-EBE
AOK EGGENFELDEN                  =AOK-EGG
AOK EGGENFELDEN                  =AOK-EGGE
AOK EHINGEN                      =AOK-EHI
AOK EICHSTAETT                   =AOK-EIC
AOK EINBECK-NORTHEIM-37141 NORTHE=AOK-NORT
AOK EISLINGEN                    =AOK-EIS
AOK ELLWANGEN                    =AOK-ELL
AOK EMDEN                        =AOK-EMD
AOK EMMENDINGEN                  =AOK-EMM
AOK ENNEPE-RUHR-58314 SCHWELM    =AOK-SWELM
AOK ENZKREIS + PFORZHEIM         =AOK-PFO
AOK EPPINGEN                     =AOK-EPP
AOK ERBACH                       =AOK-ERB
AOK ERDING                       =AOK-ERD
AOK ERFTKREIS-50354 HöRTH        =AOK-HUE
AOK ERLANGEN                     =AOK-ERL
AOK ESCHWEGE                     =AOK-ESC
AOK ESENS                        =AOK-ESE
AOK ESSEN                        =AOK-ESSE
AOK ESSLINGEN (NECKAR)           =AOK-ESS
AOK ETTLINGEN                    =AOK-ETT
AOK EUSKIRCHEN                   =AOK-EUS
AOK FELDMOCHING                  =AOK-FEL
AOK FELLBACH                     =AOK-FELL
AOK FEUCHT                       =AOK-FEU
AOK FEUCHTWANGEN                 =AOK-FEUC
AOK FILDERSTADT (BERNHAUSEN)     =AOK-FIL
AOK FLENSBURG                    =AOK-FLE
AOK FORCHHEIM                    =AOK-FOR
AOK FRANKFURT                    =AOK-FRA
AOK FREIBERG                     =AOK-FREIB
AOK FREIBURG                     =AOK-FREBG
AOK FREILASSING                  =AOK-FREI
AOK FREISING                     =AOF
AOK FREUDENSTADT                 =AOK-FRE
AOK FREYUNG                      =AOK-FREY
AOK FRIEDBERG                    =AOK-FRI
AOK FRIEDRICHSHAFEN              =AOK-FRIE
AOK FRIESLAND-26435 JEVER        =AOK-JEV
AOK FUERSTENFELDBRUCK            =AOK-FFB
AOK FUERSTENRIED-81476 MUENCHEN  =AOK-FUER
AOK FUERTH                       =AOK-FUERT
AOK FUESSEN                      =AOK-FUE
AOK FULDA                        =AOK-FUL
AOK FURTH                        =AOK-FUR
AOK FURTWANGEN                   =AOK-FUWA
AOK GAILDORF                     =AOK-GAI
AOK GARMISCH-PARTENKIRCHEN       =AOK-GAP
AOK GEISLINGEN                   =AOK-GEI
AOK GELSENKIRCHEN                =AOK-GEL
AOK GEMUENDEN                    =AOK-GEM
AOK GERABRONN                    =AOK-GERA
AOK GERETSRIED                   =AOK-GERET
AOK GERMERING                    =AOK-GERM
AOK GERMERSHEIM                  =AOK-GER
AOK GIENGEN                      =AOK-GIE
AOK GIESSEN                      =AOK-GIES
AOK GIFHORN                      =AOK-GIF
AOK GOEPPINGEN                   =AOK-GOE
AOK GOETTINGEN                   =AOK GOET
AOK GRABEN-76676 GRABEN-NEUDORF  =AOK-GRA
